delay0,distance0,evm0,ber0,ser0,startingx_idx0,delay1,distance1,evm1,ber1,ser1,startingx_idx1,delay2,distance2,evm2,ber2,ser2,startingx_idx2
-97997.5,0.7102698046001024,-18.499888823634446,0.00045045045045045046,0.0018018018018018018,20084.0,-98002.09999999999,0.8601660336025816,-17.72836227814978,0.0008258258258258258,0.003303303303303303,20085.0,-98001.4,-0.6088170106013422,-17.34883066829387,0.002177177177177177,0.008708708708708709,12573.0
-97998.4,0.4404565924014605,-16.891656490125015,0.0014264264264264265,0.005705705705705706,20084.0,-98002.0,0.8901452794016222,-19.355871828989926,0.00037537537537537537,0.0015015015015015015,20085.0,-97996.29999999999,0.9201245251970249,-18.518288097672222,0.0012012012012012011,0.004804804804804805,17347.0
-97997.5,0.7102698046001024,-16.306072558638522,0.003078078078078078,0.012012012012012012,20084.0,-98002.0,0.8901452794016222,-15.12942114138858,0.008858858858858858,0.03543543543543543,20085.0,-97996.29999999999,0.9201245251970249,-20.174046904197326,7.507507507507507e-05,0.0003003003003003003,3942.0
-97997.09999999999,0.830186787799903,-19.463767120335728,0.00015015015015015014,0.0006006006006006006,20084.0,-98002.09999999999,0.8601660336025816,-17.093501769127908,0.000975975975975976,0.003903903903903904,20085.0,-97996.2,0.9501037709960656,-19.055677681548232,0.0006006006006006006,0.0024024024024024023,16366.0
-97997.9,0.5903528214003018,-16.5726537123742,0.003303303303303303,0.013213213213213212,20084.0,-98002.29999999999,0.8002075420045003,-16.851767129040386,0.0024024024024024023,0.00960960960960961,20085.0,-98001.5,-0.6387962564003828,-18.27761040626931,0.0012012012012012011,0.004804804804804805,16138.0
-97997.2,0.8002075419972243,-17.746150082576726,0.0016516516516516516,0.006606606606606606,20084.0,-98002.09999999999,0.8601660336025816,-17.958966669359544,0.0013513513513513514,0.005405405405405406,20085.0,-97996.29999999999,0.9201245251970249,-16.35263694604279,0.004129129129129129,0.015915915915915915,13480.0
-97997.09999999999,0.830186787799903,-16.6773912675667,0.0015015015015015015,0.006006006006006006,20084.0,-98002.2,0.830186787799903,-19.016185161716002,0.00037537537537537537,0.0015015015015015015,20085.0,-97996.5,0.8601660335989436,-19.83678311832085,0.0,0.0,15225.0
-97998.7,0.35051885500070057,-11.836921876487294,0.022147147147147148,0.08318318318318318,20084.0,-98002.09999999999,0.8601660336025816,-19.3993530631224,0.0012762762762762762,0.005105105105105105,20085.0,-97996.29999999999,0.9201245251970249,-19.86446053004641,7.507507507507507e-05,0.0003003003003003003,5739.0
-97998.1,0.5303943297985825,-12.56634045764126,0.02087087087087087,0.08288288288288288,20084.0,-98002.2,0.830186787799903,-15.347166271268954,0.00975975975975976,0.038138138138138135,20085.0,-98001.6,-0.6687755022030615,-19.382194710372794,0.00015015015015015014,0.0006006006006006006,10051.0
-97997.5,0.7102698046001024,-13.75121586430231,0.012387387387387387,0.04864864864864865,20084.0,-98002.40000000001,0.7702282962018216,-18.914882298341176,0.00037537537537537537,0.0015015015015015015,20085.0,-98001.7,-0.6987547480021021,-17.099182210849367,0.0015015015015015015,0.006006006006006006,12339.0
-97999.1,0.230601871797262,-10.739304261739555,0.032507507507507506,0.12792792792792793,20084.0,-98002.2,0.830186787799903,-19.931485819056654,7.507507507507507e-05,0.0003003003003003003,20085.0,-98001.4,-0.6088170106013422,-17.33812473268833,0.0017267267267267268,0.006906906906906907,7367.0
-97998.7,0.35051885500070057,-9.285125953062545,0.039489489489489486,0.14594594594594595,20084.0,-98002.2,0.830186787799903,-16.063289399369516,0.007882882882882882,0.03153153153153153,20085.0,-98001.5,-0.6387962564003828,-16.764941468275264,0.002027027027027027,0.008108108108108109,10239.0
-97998.3,0.47043583820050117,-11.396254142372385,0.021021021021021023,0.08318318318318318,20084.0,-98002.40000000001,0.7702282962018216,-17.756662639972568,0.0018018018018018018,0.007207207207207207,20085.0,-97996.6,0.830186787796265,-18.805950594728515,0.00015015015015015014,0.0006006006006006006,13107.0
-97998.20000000001,0.5004150839959038,-19.907005221588484,7.507507507507507e-05,0.0003003003003003003,20084.0,-98002.0,0.8901452794016222,-15.351243157363355,0.006531531531531532,0.025525525525525526,20085.0,-98001.2,-0.5488585190032609,-19.935247027887392,0.00022522522522522523,0.0009009009009009009,8732.0
-97998.5,0.4104773465987819,-18.36492589818122,0.0006006006006006006,0.0024024024024024023,20084.0,-98002.8,0.650311313002021,-16.528535186544147,0.004054054054054054,0.015615615615615615,20085.0,-97997.2,0.6503113129947451,-16.0169931662974,0.004429429429429429,0.017717717717717716,3722.0
-97998.4,0.4404565924014605,-19.436416512619704,7.507507507507507e-05,0.0003003003003003003,20084.0,-98002.5,0.740249050402781,-16.17149478617564,0.002027027027027027,0.008108108108108109,20085.0,-98001.8,-0.7287339938047808,-15.731584104818213,0.0023273273273273273,0.009309309309309309,12990.0
-97998.5,0.4104773465987819,-19.54397774729678,0.00037537537537537537,0.0015015015015015015,20084.0,-98002.7,0.6802905588010617,-15.67158300850598,0.005555555555555556,0.02192192192192192,20085.0,-98001.9,-0.7587132396001834,-16.339990177352547,0.0034534534534534536,0.013813813813813814,11090.0
-97998.4,0.4404565924014605,-19.0358959523912,0.0013513513513513514,0.005405405405405406,20084.0,-98002.29999999999,0.8002075420045003,-9.613382685341449,0.028303303303303304,0.109009009009009,20085.0,-97996.5,0.8601660335989436,-11.854412394332508,0.021846846846846846,0.08318318318318318,8450.0
-97998.4,0.4404565924014605,-19.627341428740927,0.00045045045045045046,0.0018018018018018018,20084.0,-98002.40000000001,0.7702282962018216,-17.400509693206278,0.002102102102102102,0.008408408408408409,20085.0,-97996.6,0.830186787796265,-15.098371027725499,0.007357357357357357,0.02942942942942943,5940.0
-97998.4,0.4404565924014605,-18.6165680566721,0.00037537537537537537,0.0015015015015015015,20084.0,-98002.5,0.740249050402781,-16.362459527407843,0.001951951951951952,0.007807807807807808,20085.0,-97996.6,0.830186787796265,-19.530654586155553,0.00045045045045045046,0.0018018018018018018,15588.0
-97998.5,0.4104773465987819,-15.516751187574009,0.0045045045045045045,0.018018018018018018,20084.0,-98003.09999999999,0.5603735756012611,-15.895808567708292,0.004054054054054054,0.016216216216216217,20085.0,-98002.29999999999,-0.878630222799984,-15.778071427128637,0.006681681681681682,0.026726726726726727,10837.0
-97998.59999999999,0.3804981007997412,-15.850549967052425,0.0037537537537537537,0.015015015015015015,20084.0,-98002.40000000001,0.7702282962018216,-17.74907591779021,0.0016516516516516516,0.006606606606606606,20085.0,-98001.7,-0.6987547480021021,-17.46984386074413,0.003228228228228228,0.012312312312312312,14475.0
-97998.5,0.4104773465987819,-17.685564212481516,0.0007507507507507507,0.003003003003003003,20084.0,-98002.7,0.6802905588010617,-15.44859392031336,0.007132132132132132,0.028528528528528527,20085.0,-97997.0,0.7102698045964644,-20.093528673922005,0.00015015015015015014,0.0006006006006006006,12145.0
-97998.79999999999,0.3205396092016599,-20.796773662143927,0.0,0.0,20084.0,-98002.6,0.7102698046001024,-16.58288285800517,0.003003003003003003,0.012012012012012012,20085.0,-98001.8,-0.7287339938047808,-19.921908181191824,0.00022522522522522523,0.0009009009009009009,10443.0
-97998.7,0.35051885500070057,-18.41978635430165,0.0007507507507507507,0.003003003003003003,20084.0,-98002.6,0.7102698046001024,-18.03167012647528,0.00037537537537537537,0.0015015015015015015,20085.0,-98001.8,-0.7287339938047808,-20.043898131337112,7.507507507507507e-05,0.0003003003003003003,7504.0
-97998.7,0.35051885500070057,-18.98885443188856,0.00037537537537537537,0.0015015015015015015,20084.0,-98003.0,0.5903528214003018,-17.240419923556342,0.002177177177177177,0.008708708708708709,20085.0,-98002.2,-0.8486509770045814,-16.129917758776315,0.004204204204204204,0.016816816816816817,8541.0
-97998.4,0.4404565924014605,-21.531835607712885,0.0,0.0,20084.0,-98002.7,0.6802905588010617,-18.414996015080778,0.0006006006006006006,0.0024024024024024023,20085.0,-98001.8,-0.7287339938047808,-19.668974810634015,0.00022522522522522523,0.0009009009009009009,15499.0
-97998.3,0.47043583820050117,-16.880306728396725,0.002852852852852853,0.011411411411411412,20084.0,-98002.6,0.7102698046001024,-17.167621194680237,0.0022522522522522522,0.008708708708708709,20085.0,-98001.8,-0.7287339938047808,-18.028366186296783,0.001951951951951952,0.007807807807807808,5975.0
-97998.79999999999,0.3205396092016599,-18.324682826437137,0.0014264264264264265,0.005705705705705706,20084.0,-98002.9,0.6203320672029804,-18.031309378939724,0.0006006006006006006,0.0024024024024024023,20085.0,-97997.09999999999,0.6802905587974237,-20.2791487033122,0.00015015015015015014,0.0006006006006006006,19082.0
