delay0,distance0,delay1,distance1,evm0,evm1,ber0,ber1,ser0,ser1
-118157.09999999999,1.0100622625977849,-118160.7,0.9800830168023822,-17.206690817291697,-11.6144237909715,0.0016516516516516516,0.03205705705705706,0.006606606606606606,0.12162162162162163
-118157.29999999999,0.9501037709997036,-118161.1,0.8601660335989436,6.010427877652057,-13.293893478309064,0.49512012012012013,0.01756756756756757,0.9336336336336336,0.06966966966966967
-118157.29999999999,0.9501037709997036,-118160.7,0.9800830168023822,-16.57705143830859,-10.869834016034464,0.0012762762762762762,0.03325825825825826,0.005105105105105105,0.12642642642642643
-118157.4,0.9201245251970249,-118161.0,0.8901452794016222,-15.34860537272583,-12.901640663565386,0.0036036036036036037,0.015915915915915915,0.014114114114114115,0.062162162162162166
-118157.09999999999,1.0100622625977849,-118161.2,0.8301867878035409,-17.981224756838966,-13.363338600647253,0.00037537537537537537,0.013813813813813814,0.0015015015015015015,0.054654654654654654
-118157.29999999999,0.9501037709997036,-118160.79999999999,0.9501037710069795,-17.567185502534738,-13.201058229013647,0.000975975975975976,0.015465465465465466,0.003903903903903904,0.06126126126126126
-118157.2,0.9800830167951062,-118161.3,0.8002075420008623,-17.609337334540346,5.413467849786949,0.0036786786786786787,0.4918918918918919,0.014714714714714715,0.9306306306306307
-118157.09999999999,1.0100622625977849,-118161.5,0.740249050402781,-13.84710844014053,-12.495207392294642,0.010585585585585585,0.02087087087087087,0.042042042042042045,0.08228228228228228
-118157.29999999999,0.9501037709997036,-118161.1,0.8601660335989436,-17.519508582603088,-12.085096147240144,0.001051051051051051,0.016366366366366368,0.004204204204204204,0.06456456456456457
-118157.4,0.9201245251970249,-118161.0,0.8901452794016222,-18.822869624557633,5.507854696975931,7.507507507507507e-05,0.48693693693693696,0.0003003003003003003,0.9285285285285285
-118157.4,0.9201245251970249,-118161.0,0.8901452794016222,5.8987171164945,-11.999056098909692,0.49527027027027026,0.02057057057057057,0.9384384384384384,0.08138138138138139
-118157.29999999999,0.9501037709997036,-118161.0,0.8901452794016222,-16.964327489858697,-12.20401883899193,0.001051051051051051,0.020045045045045045,0.004204204204204204,0.07957957957957958
-118157.2,0.9800830167951062,-118161.0,0.8901452794016222,-16.465334829295035,-12.145818753729149,0.003228228228228228,0.023198198198198197,0.012912912912912912,0.0912912912912913
-118157.29999999999,0.9501037709997036,-118161.1,0.8601660335989436,-18.536639111509892,-11.501753135908984,0.0006006006006006006,0.025225225225225224,0.0024024024024024023,0.0960960960960961
-118157.6,0.8601660335916677,-118161.0,0.8901452794016222,-15.12182815093011,-12.214895232200256,0.0036036036036036037,0.01966966966966967,0.014414414414414415,0.07777777777777778
-118157.8,0.8002075419935863,-118161.4,0.7702282962054596,-16.166054469508786,5.546848140401597,0.004204204204204204,0.4936186186186186,0.016816816816816817,0.9333333333333333
-118157.8,0.8002075419935863,-118161.4,0.7702282962054596,-15.970974224700846,5.179026751506091,0.002927927927927928,0.4897147147147147,0.011711711711711712,0.9297297297297298
-118157.8,0.8002075419935863,-118161.4,0.7702282962054596,-16.85782940080369,-11.532163370711977,0.0017267267267267268,0.015915915915915915,0.006906906906906907,0.061861861861861864
-118157.6,0.8601660335916677,-118161.3,0.8002075420008623,-15.956656987159825,18.196924182001403,0.002927927927927928,0.49932432432432433,0.011711711711711712,0.9402402402402402
-118157.6,0.8601660335916677,-118161.5,0.740249050402781,-14.9871937694375,4.36976150614676,0.00563063063063063,0.4936936936936937,0.02252252252252252,0.9318318318318318
-118157.6,0.8601660335916677,-118161.4,0.7702282962054596,-16.26446468315678,-15.436946289295399,0.0022522522522522522,0.0037537537537537537,0.008708708708708709,0.015015015015015015
-118158.09999999999,0.7102698046001024,-118161.4,0.7702282962054596,6.152788486586109,4.962807928029709,0.4954204204204204,0.49106606606606606,0.9381381381381382,0.9282282282282283
-118158.0,0.740249050395505,-118161.4,0.7702282962054596,-13.329859590465748,-14.41988762149117,0.016516516516516516,0.00975975975975976,0.06456456456456457,0.037237237237237236
-118157.8,0.8002075419935863,-118161.4,0.7702282962054596,-14.48679373165273,-17.866284971823703,0.004204204204204204,0.0009009009009009009,0.016816816816816817,0.0036036036036036037
-118157.8,0.8002075419935863,-118161.8,0.650311313002021,-15.28337176583543,-19.485890724083553,0.008108108108108109,0.0006756756756756757,0.032432432432432434,0.002702702702702703
-118157.7,0.830186787796265,-118161.7,0.6802905587974237,-15.692945826947026,-17.7911893363474,0.004354354354354354,0.0018768768768768769,0.017417417417417418,0.0075075075075075074
